2020-05-24 14:09:28: == 同步开始由 User Command
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/net_namespace.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/net_namespace.h' (2,410)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/netfilter/ipv6/nf_defrag_ipv6.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/netfilter/ipv6/nf_defrag_ipv6.h' (1,654)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/netfilter/nf_conntrack_core.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/netfilter/nf_conntrack_core.h' (989)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/netfilter/nf_conntrack_expect.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/netfilter/nf_conntrack_expect.h' (603)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/netfilter/nf_conntrack_labels.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/netfilter/nf_conntrack_labels.h' (1,223)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/netfilter/nf_conntrack_zones.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/netfilter/nf_conntrack_zones.h' (2,585)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/netlink.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/netlink.h' (2,432)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/route.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/route.h' (2,796)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/rtnetlink.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/rtnetlink.h' (891)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/sctp/checksum.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/sctp/checksum.h' (711)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/sock.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/sock.h' (375)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/stt.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/stt.h' (1,586)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/udp.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/udp.h' (1,712)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/udp_tunnel.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/udp_tunnel.h' (4,169)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/vrf.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/vrf.h' (675)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/include/net/vxlan.h' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/include/net/vxlan.h' (7,419)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/inet_fragment.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/inet_fragment.c' (13,299)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/ip6_output.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/ip6_output.c' (11,379)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/ip_fragment.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/ip_fragment.c' (18,223)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/ip_gre.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/ip_gre.c' (16,595)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/ip_output.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/ip_output.c' (10,448)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/ip_tunnel.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/ip_tunnel.c' (7,228)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/ip_tunnels_core.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/ip_tunnels_core.c' (7,024)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/lisp.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/lisp.c' (17,942)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/net_namespace.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/net_namespace.c' (808)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/netdevice.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/netdevice.c' (5,495)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/nf_conntrack_core.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/nf_conntrack_core.c' (306)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/nf_conntrack_reasm.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/nf_conntrack_reasm.c' (16,503)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/reassembly.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/reassembly.c' (3,003)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/reciprocal_div.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/reciprocal_div.c' (504)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/skbuff-openvswitch.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/skbuff-openvswitch.c' (7,479)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/socket.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/socket.c' (672)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/stt.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/stt.c' (47,400)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/udp.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/udp.c' (1,253)
2020-05-24 14:09:29: 覆盖复制 'G:/code/ovs_reading/ovs-branch-2.5/datapath/linux/compat/udp_tunnel.c' -> 'sftp://200.200.95.156/home/pi/ovs_reading/datapath/linux/compat/udp_tunnel.c' (6,619)
